JH002626;AH09073 90 legyező pálma20lvs;30,80400;3;2;0,286;FS;2,666;1,500
JH002633;AH09075 66 legyező pálma x 3;22,50400;6;2;0,242;FS;1,666;1,125
GF001469;09BG1610 gumifa 100cm 69level;10,77900;4;1;0,080;US;2,613;2,329
GF154219;11CG0574 areca palma 180cm;30,90000;6;2;0,342;US;2,878;1,704
JH004118;AK00212 szár 2 hosszú levéllel;0,03600;4;288;0,026;DS;0,007;0,007
JH002459-RED;AC24142NP new-york rózsa csx14;2,03000;8;12;0,440;FS;0,195;0,110
JH002527-PHOTOS;AD60029139lvs.philole.futS121C;1,62500;10;12;0,197;FS;0,125;0,100
JH002527-CALADIUM;AD60029 139leveles futó S130;1,62500;10;12;0,197;FS;0,125;0,100
JH002527-CYCLAMEN;AD60029 139leveles futó S137;1,62500;10;12;0,197;FS;0,125;0,100
JH002527-GERANIUM;AD60029 139leveles futó S390;1,62500;10;12;0,197;DS;0,125;0,100
JH002534-PHOTOS;AD60038 240leveles futó S121C;1,35700;8;24;0,170;FS;0,088;0,072
JH002534-ENGLISH;AD60038 240leveles futó S127D;1,35700;8;24;0,170;FS;0,088;0,072
JH002541-PHOTOS;AD60040NWLP 643lvs.futó S121C;4,09300;84;1;0,229;FS;0,190;0,166
JH002541-ENGLISH;AD60040NWLP 643lvs.futó S127E;4,09300;84;1;0,229;FS;0,190;0,154
JH002541-GR.CALADIUM;AD60040NWLP 643lvs.futó S316B;4,09300;84;1;0,229;FS;0,190;0,166
JH002541-BEGONIA;AD60040NWLP 643lvs.futó S386;4,09300;84;1;0,229;FS;0,190;0,166
JH002763;AJ05377 akácvirágos ág x 3;0,89600;10;24;0,203;FS;0,075;0,066
JH003197;AK15192EVALP MALLCRC.levél AKCIÓS!;0,12000;480;1;0,121;DS;0,022;0,018
JH000554;AC83029 kis nárcisz csok.x 7;0,56000;12;24;0,211;FS;0,048;0,031
JH000714;AN02010 cserepes ibolya;1,06100;24;1;0,033;FS;0,208;0,125
JH000387;AC00025 hóvirág fűvel x 5;0,72400;12;36;0,256;FS;0,038;0,027
JH000868;CD11501 nagy barka;0,31000;6;144;0,128;FS;0,018;0,014
JH000875;CD11502 szálas barka;0,21100;6;144;0,086;FS;0,012;0,009
JH002725-RED;AJ04374CV sz.bimb.bár.rózsa;0,22700;12;36;0,133;FS;0,030;0,020
JH002725-YELLOW;AJ04374CV szál.bim.bársony réz;0,22700;12;36;0,133;DS;0,030;0,020
JH002923;AJ17987PNCVKDfélb.ny.rózsaszál;0,43000;12;36;0,247;FS;0,030;0,016
JH002343;AB03131tövises,írisz.girlAKCIÓS!;0,80000;8;6;0,343;DS;0,363;0,198
JH002886-BLUE;AJ16516 5ret.gerbera fej;0,10100;12;96;0,132;FS;0,007;0,004
JH000455;AC30067 tulipán cs.x7;1,09200;12;24;0,288;FS;0,062;0,038
HOG109790;HG551015faszív girland S/ár AKCÓS!;0,68000;6;24;0,085;HG;0,069;0,055
GF001551;11CG0574A 210cm areca palma;52,80000;6;1;0,342;US;5,075;2,992
108885;ujsagtarto 2/set AKCIÓS!;5,90000;4;1;0,119;FL;3,750;3,250
108892;JH-458 3polcos szekrény AKCIÓS!;5,90000;3;1;0,062;FL;5,000;4,333
108908;JF-468 viragtarto AKCIÓS!;5,90000;4;1;0,090;FL;3,750;3,250
108922;JF-473 ujsagtarto AKCIÓS!;3,00000;10;1;0,072;FL;1,500;1,300
108939;JF-475 polcok AKCIÓS!;5,90000;8;1;0,079;FL;1,875;1,625
440389;rozsa girland STOCK AKCIÓS!;0,15000;15;12;0,030;R1;0,083;0,055
JH000059;AK00234 csokor alap x 12 AKCIÓS!;0,12200;800;1;0,165;DS;0,021;0,019
YGB102272;GBS10241-L ny.gumi magn.x6;1,31500;14;12;0,293;FS;0,148;0,119
YGB102302;GBS15442 kisfejű gumi magn.x5;0,79100;20;12;0,180;FS;0,066;0,050
YGB102326;GBS15444gumi magn.kotegX5;0,68400;12;18;0,143;FS;0,055;0,037
